time, altitude, axis Z angle, vertical acc, vertical vel, horizontal acc, horizontal vel, fuel weight
1.0, 29957.0, 180.0, 0.0, -43.0, -0.0, 1700.0, 216.06
2.0, 29914.0, 180.0, 0.0, -43.0, -0.0, 1700.0, 216.06
3.0, 29870.997633860345, 180.0, -0.0015774264358552371, -43.00157742643586, -1.6532829475673123, 1698.3467170524327, 216.06
4.0, 29827.99132277532, 180.0, -0.0031557723930524654, -43.00473319882891, -1.654246687567942, 1696.6924703648647, 215.8380000000001
5.0, 29784.979487018074, 180.0, -0.004735038944240736, -43.00946823777315, -1.6552115518002386, 1695.0372588130645, 215.6160000000002
6.0, 29741.960545939553, 180.0, -0.006315227163947419, -43.015783464937094, -1.6561775422325258, 1693.3810812708318, 215.39400000000032
7.0, 29698.932917967424, 180.0, -0.007896338128582057, -43.023679803065676, -1.6571446608377243, 1691.723936609994, 215.17200000000042
8.0, 29655.895020604985, 180.0, -0.009478372916441236, -43.033158175982116, -1.6581129095933653, 1690.0658237004006, 214.95000000000053
9.0, 29612.84527043009, 180.0, -0.011061332607712361, -43.044219508589826, -1.6590822904816052, 1688.406741409919, 214.72800000000063
10.0, 29569.782083094073, 180.0, -0.012645218284479062, -43.0568647268743, -1.6600528054892378, 1686.74668860443, 214.50600000000074
11.0, 29526.703873320654, 180.0, -0.014230031030724788, -43.07109475790503, -1.6610244566077097, 1685.0856641478222, 214.28400000000084
12.0, 29483.60905490485, 180.0, -0.015815771932337505, -43.08691052983737, -1.6619972458331314, 1683.423666901989, 214.06200000000095
13.0, 29440.496040711896, 180.0, -0.017402442077113816, -43.10431297191448, -1.6629711751662926, 1681.7606957268226, 213.84000000000106
14.0, 29397.36324267615, 180.0, -0.018990042554764205, -43.12330301446924, -1.6639462466126755, 1680.09674948021, 213.61800000000116
15.0, 29354.209071799996, 180.0, -0.02057857445691698, -43.14388158892616, -1.6649224621824699, 1678.4318270180277, 213.39600000000127
16.0, 29311.031938152755, 180.0, -0.02216803887712333, -43.16604962780329, -1.6658998238905842, 1676.765927194137, 213.17400000000137
17.0, 29267.830250869585, 180.0, -0.023758436910860378, -43.18980806471415, -1.666878333756661, 1675.0990488603804, 212.95200000000148
18.0, 29224.60241815039, 180.0, -0.02534976965553784, -43.21515783436969, -1.6678579938050917, 1673.4311908665754, 212.73000000000158
19.0, 29181.346847258705, 180.0, -0.026942038210501108, -43.24209987258019, -1.6688388060650297, 1671.7623520605105, 212.5080000000017
20.0, 29138.06194452061, 180.0, -0.0285352436770359, -43.270635116257225, -1.669820772570403, 1670.0925312879401, 212.2860000000018
21.0, 29094.746115323615, 180.0, -0.03012938715837351, -43.3007645034156, -1.6708038953599305, 1668.4217273925801, 212.0640000000019
22.0, 29051.397764115558, 180.0, -0.03172446975969456, -43.332488973175295, -1.6717881764771352, 1666.749939216103, 211.842000000002
23.0, 29008.0152944035, 180.0, -0.03332049258813445, -43.36580946576343, -1.6727736179703587, 1665.0771655981328, 211.6200000000021
24.0, 28964.59710875261, 180.0, -0.03491745675278745, -43.40072692251621, -1.673760221892774, 1663.40340537624, 211.3980000000022
25.0, 28921.141608785045, 180.0, -0.03651536336471122, -43.43724228588093, -1.6747479903024014, 1661.7286573859376, 211.17600000000232
26.0, 28877.64719517886, 180.0, -0.03811421353693187, -43.475356499417856, -1.6757369252621221, 1660.0529204606755, 210.95400000000242
27.0, 28834.112267666864, 180.0, -0.039714008384448246, -43.51507050780231, -1.6767270288396936, 1658.3761934318359, 210.73200000000253
28.0, 28790.535225035524, 180.0, -0.04131474902423683, -43.556385256826545, -1.6777183031077618, 1656.6984751287282, 210.51000000000263
29.0, 28746.914465123835, 180.0, -0.04291643657525641, -43.5993016934018, -1.6787107501438772, 1655.0197643785843, 210.28800000000274
30.0, 28703.248384822196, 180.0, -0.04451907215845272, -43.64382076556025, -1.6797043720305098, 1653.3400600065538, 210.06600000000284
31.0, 28659.53538007129, 180.0, -0.04612265689676249, -43.68994342245701, -1.6806991708550625, 1651.6593608356989, 209.84400000000295
32.0, 28615.77384586096, 180.0, -0.047727191915119836, -43.737670614372135, -1.681695148709886, 1649.977665686989, 209.62200000000306
33.0, 28571.962176229077, 180.0, -0.04933267834045919, -43.7870032927126, -1.6826923076922935, 1648.2949733792966, 209.40000000000316
34.0, 28528.098764260412, 180.0, -0.050939117301721085, -43.83794241001432, -1.683690649904576, 1646.611282729392, 209.17800000000327
35.0, 28484.182002085505, 180.0, -0.05254650992985676, -43.890488919944175, -1.6846901774540168, 1644.926592551938, 208.95600000000337
36.0, 28440.210280879524, 180.0, -0.0541548573578322, -43.944643777302005, -1.6856908924529055, 1643.2409016594852, 208.73400000000348
37.0, 28396.18199086114, 180.0, -0.05576416072063477, -44.00040793802264, -1.6866927970185535, 1641.5542088624666, 208.51200000000358
38.0, 28352.095521291383, 180.0, -0.05737442115527553, -44.057782359177914, -1.6876958932733095, 1639.8665129691933, 208.2900000000037
39.0, 28307.949260472506, 180.0, -0.05898563980079594, -44.11676799897871, -1.6887001833445743, 1638.1778127858488, 208.0680000000038
40.0, 28263.74159574683, 180.0, -0.060597817798272335, -44.177365816776984, -1.689705669364814, 1636.488107116484, 207.8460000000039
41.0, 28219.470913495617, 180.0, -0.06221095629081991, -44.2395767730678, -1.6907123534715778, 1634.7973947630123, 207.624000000004
42.0, 28175.135599137913, 180.0, -0.06382505642359844, -44.3034018294914, -1.6917202378075118, 1633.105674525205, 207.4020000000041
43.0, 28130.734037129405, 180.0, -0.06544011934381738, -44.36884194883522, -1.6927293245203743, 1631.4129452006846, 207.1800000000042
44.0, 28086.26461096127, 180.0, -0.06705614620073941, -44.43589809503596, -1.6937396157630504, 1629.7192055849216, 206.95800000000432
45.0, 28041.725703159012, 180.0, -0.06867313814568712, -44.50457123318164, -1.694751113693569, 1628.024454471228, 206.73600000000442
46.0, 27997.115695281333, 180.0, -0.07029109633204632, -44.57486232951369, -1.695763820475116, 1626.3286906507528, 206.51400000000453
47.0, 27952.432967918947, 180.0, -0.071910021915272, -44.646772351428964, -1.6967777382760527, 1624.6319129124768, 206.29200000000463
48.0, 27907.675900693437, 180.0, -0.0735299160528932, -44.720302267481856, -1.6977928692699276, 1622.9341200432068, 206.07000000000474
49.0, 27862.8428722561, 180.0, -0.07515077990451717, -44.795453047386374, -1.6988092156354941, 1621.2353108275713, 205.84800000000484
50.0, 27817.932260286765, 180.0, -0.07677261463183543, -44.87222566201821, -1.699826779556727, 1619.5354840480145, 205.62600000000495
51.0, 27772.943117662137, 180.0, -0.07794464174118562, -44.95017030375939, -1.2283884623276038, 1618.307095585687, 205.40400000000506
52.0, 27727.90644317994, 179.0, -0.05766945228915163, -45.00783975604855, -1.2287288182045721, 1617.0783667674823, 205.24500000000506
53.0, 27682.810353783927, 179.0, -0.058833093311045595, -45.06667284935959, -1.229256716806774, 1615.8491100506756, 205.08600000000507
54.0, 27637.68587505224, 178.0, -0.03853725488411352, -45.1052101042437, -1.2292231340066617, 1614.619886916669, 204.92700000000508
55.0, 27592.52112676083, 178.0, -0.03969212478002207, -45.14490222902373, -1.2297516991564503, 1613.3901352175126, 204.7680000000051
56.0, 27547.347151871403, 177.0, -0.019381773601013452, -45.16428400262474, -1.2293435449713745, 1612.160791672541, 204.6090000000051
57.0, 27502.15207663485, 177.0, -0.02052748928362501, -45.18481149190836, -1.229872616898971, 1610.930919055642, 204.4500000000051
58.0, 27456.9669519782, 176.0, -2.0877649437185675E-4, -45.18502026840274, -1.2290893708977844, 1609.7018296847443, 204.2910000000051
59.0, 27411.77991427437, 176.0, -0.0013449569512444803, -45.18636522535398, -1.2296187891275039, 1608.4722108956169, 204.13200000000512
60.0, 27366.622012978838, 175.0, 0.018975953214164537, -45.167389272139815, -1.228460043503828, 1607.243750852113, 203.97300000000513
61.0, 27321.481398236894, 175.0, 0.017849686797325542, -45.14953958534249, -1.228989646899895, 1606.014761205213, 203.81400000000514
62.0, 27276.38910857982, 174.0, 0.03816661884629416, -45.11137296649619, -1.2274551067869905, 1604.7873060984261, 203.65500000000515
63.0, 27231.333311577768, 174.0, 0.037050642962774785, -45.074322323533416, -1.227984733599708, 1603.5593213648265, 203.49600000000515
64.0, 27186.34502537221, 173.0, 0.05735741198441424, -45.016964911549, -1.2260742173520314, 1602.3332471474744, 203.33700000000516
65.0, 27141.41243861169, 173.0, 0.056252100684083706, -44.96071281086492, -1.2266037052642884, 1601.10664344221, 203.17800000000517
66.0, 27096.56653957212, 172.0, 0.07654251419534484, -44.88417029666957, -1.2243171447055945, 1599.8823262975045, 203.01900000000518
67.0, 27051.795541633892, 172.0, 0.07544823896273971, -44.80872205770683, -1.2248463308797046, 1598.6574799666248, 202.8600000000052
68.0, 27007.130393724325, 171.0, 0.09571609875993148, -44.7130059589469, -1.222183771517568, 1597.4352961951072, 202.7010000000052
69.0, 26962.559337607967, 171.0, 0.09463322839286993, -44.61837273055403, -1.2227124926424227, 1596.2125837024648, 202.5420000000052
70.0, 26918.113273376024, 170.0, 0.11487233240801652, -44.50350039814601, -1.2196740938490576, 1594.9929096086157, 202.3830000000052
71.0, 26873.780474827225, 170.0, 0.11380123289678237, -44.389699165249226, -1.2202021861875811, 1593.772707422428, 202.22400000000522
72.0, 26829.591783727563, 169.0, 0.1340053770582726, -44.25569378819095, -1.216788221346848, 1592.5559192010812, 202.06500000000523
73.0, 26785.53550955657, 169.0, 0.13294641146540628, -44.12274737672555, -1.217315520783745, 1591.3386036802974, 201.90600000000524
74.0, 26741.642426267186, 168.0, 0.15310939156239062, -43.96963798516316, -1.2135263774042466, 1590.1250773028933, 201.74700000000524
75.0, 26697.900882661877, 168.0, 0.15206291990312684, -43.81757506526004, -1.2140527194940238, 1588.9110245833992, 201.58800000000525
76.0, 26654.341575396797, 167.0, 0.17217853345311138, -43.645396531806924, -1.2098888992881995, 1587.701135684111, 201.42900000000526
77.0, 26610.952896233855, 167.0, 0.1711449125764991, -43.47425161923042, -1.2104141193034528, 1586.4907215648075, 201.27000000000527
78.0, 26567.76545505567, 166.0, 0.19120696069558202, -43.28304465853484, -1.2058762382325907, 1585.284845326575, 201.11100000000528
79.0, 26524.767690213383, 166.0, 0.19018654416632796, -43.09285811436851, -1.2064001712125416, 1584.0784451553623, 200.95200000000528
80.0, 26481.990115349177, 165.0, 0.21018883344153283, -42.882669280926976, -1.2014889594976386, 1582.8769561958645, 200.7930000000053
81.0, 26439.421219025386, 165.0, 0.20918197142260397, -42.673487309504374, -1.2020114402969082, 1581.6749447555676, 200.6340000000053
82.0, 26397.028431737133, 166.0, 0.18713334750058047, -42.4863539620038, -1.207974705398651, 1580.466970050169, 200.4750000000053
